slug,name,name_hi,browse_section,default_unit,kcal_per_serving,protein_g_per_serving,serving_label,aliases,tags,is_junk,is_home_cooked,sort_priority,portion_ui_type,portion_presets,unit_options,data_source
chapati-medium,Chapati (medium),रोटी,breads_roti,piece,120,3.5,1 medium roti (~40g),roti|phulka|chapati|wheat roti,veg|staple|home_cooked,false,true,98,count,"{""default_key"":""regular"",""options"":[{""key"":""small"",""label"":""Small"",""multiplier"":0.8},{""key"":""regular"",""label"":""Medium"",""multiplier"":1.0},{""key"":""large"",""label"":""Large"",""multiplier"":1.3}]}","{""piece"":{""multiplier"":1,""label"":""piece"",""step"":1,""min"":1,""max"":10},""gram"":{""multiplier"":0.025,""label"":""g"",""step"":10,""min"":10,""max"":400}}",mfp_avg
phulka-thin,Phulka (thin roti),फुल्का,breads_roti,piece,90,2.8,1 thin phulka (~30g),phulka|thin roti|fulka,veg|staple|home_cooked,false,true,90,count,"{""default_key"":""regular"",""options"":[{""key"":""regular"",""label"":""Standard"",""multiplier"":1.0}]}","{""piece"":{""multiplier"":1,""label"":""piece"",""step"":1,""min"":1,""max"":10},""gram"":{""multiplier"":0.03333,""label"":""g"",""step"":10,""min"":10,""max"":300}}",mfp_avg
tandoori-roti,Tandoori roti,तंदूरी रोटी,breads_roti,piece,150,4.0,1 tandoori roti (~50g),tandoori roti|tandoor roti,veg|restaurant,false,false,80,count,"{""default_key"":""regular"",""options"":[{""key"":""regular"",""label"":""Standard"",""multiplier"":1.0}]}","{""piece"":{""multiplier"":1,""label"":""piece"",""step"":1,""min"":1,""max"":8},""gram"":{""multiplier"":0.02,""label"":""g"",""step"":10,""min"":10,""max"":400}}",mfp_avg
rumali-roti,Rumali roti,रुमाली रोटी,breads_roti,piece,140,3.5,1 rumali roti (~40g),rumali|romali roti,veg|restaurant,false,false,60,count,"{""default_key"":""regular"",""options"":[{""key"":""regular"",""label"":""Standard"",""multiplier"":1.0}]}","{""piece"":{""multiplier"":1,""label"":""piece"",""step"":1,""min"":1,""max"":8},""gram"":{""multiplier"":0.025,""label"":""g"",""step"":10,""min"":10,""max"":320}}",mfp_avg
missi-roti,Missi roti,मिस्सी रोटी,breads_roti,piece,200,6.0,1 missi roti (~60g),missi roti|besan roti,veg|home_cooked,false,true,55,count,"{""default_key"":""regular"",""options"":[{""key"":""small"",""label"":""Small"",""multiplier"":0.8},{""key"":""regular"",""label"":""Medium"",""multiplier"":1.0},{""key"":""large"",""label"":""Large"",""multiplier"":1.3}]}","{""piece"":{""multiplier"":1,""label"":""piece"",""step"":1,""min"":1,""max"":6},""gram"":{""multiplier"":0.01667,""label"":""g"",""step"":10,""min"":10,""max"":360}}",mfp_avg
bajra-roti,Bajra roti,बाजरा रोटी,breads_roti,piece,165,5.0,1 bajra roti (~50g),bajra roti|pearl millet roti,veg|millet|home_cooked,false,true,65,count,"{""default_key"":""regular"",""options"":[{""key"":""small"",""label"":""Small"",""multiplier"":0.8},{""key"":""regular"",""label"":""Medium"",""multiplier"":1.0},{""key"":""large"",""label"":""Large"",""multiplier"":1.3}]}","{""piece"":{""multiplier"":1,""label"":""piece"",""step"":1,""min"":1,""max"":6},""gram"":{""multiplier"":0.02,""label"":""g"",""step"":10,""min"":10,""max"":300}}",mfp_avg
jowar-roti,Jowar roti / Bhakri,ज्वार रोटी,breads_roti,piece,145,4.5,1 jowar bhakri (~50g),jowar roti|jowar bhakri|sorghum,veg|millet|home_cooked,false,true,60,count,"{""default_key"":""regular"",""options"":[{""key"":""small"",""label"":""Small"",""multiplier"":0.8},{""key"":""regular"",""label"":""Medium"",""multiplier"":1.0},{""key"":""large"",""label"":""Large"",""multiplier"":1.3}]}","{""piece"":{""multiplier"":1,""label"":""piece"",""step"":1,""min"":1,""max"":6},""gram"":{""multiplier"":0.02,""label"":""g"",""step"":10,""min"":10,""max"":300}}",mfp_avg
ragi-roti,Ragi roti,रागी रोटी,breads_roti,piece,145,3.5,1 ragi roti (~50g),ragi roti|finger millet roti|nachni,veg|millet|home_cooked,false,true,60,count,"{""default_key"":""regular"",""options"":[{""key"":""small"",""label"":""Small"",""multiplier"":0.8},{""key"":""regular"",""label"":""Medium"",""multiplier"":1.0},{""key"":""large"",""label"":""Large"",""multiplier"":1.3}]}","{""piece"":{""multiplier"":1,""label"":""piece"",""step"":1,""min"":1,""max"":6},""gram"":{""multiplier"":0.02,""label"":""g"",""step"":10,""min"":10,""max"":300}}",mfp_avg
makki-roti,Makki ki roti,मक्की की रोटी,breads_roti,piece,160,4.0,1 makki roti (~50g),makki roti|makki ki roti|corn roti,veg|home_cooked,false,true,55,count,"{""default_key"":""regular"",""options"":[{""key"":""small"",""label"":""Small"",""multiplier"":0.8},{""key"":""regular"",""label"":""Medium"",""multiplier"":1.0},{""key"":""large"",""label"":""Large"",""multiplier"":1.3}]}","{""piece"":{""multiplier"":1,""label"":""piece"",""step"":1,""min"":1,""max"":6},""gram"":{""multiplier"":0.02,""label"":""g"",""step"":10,""min"":10,""max"":300}}",mfp_avg
plain-paratha,Plain paratha,परांठा,breads_roti,piece,260,5.0,1 medium paratha (~70g),paratha|plain paratha,veg|home_cooked,false,true,88,count,"{""default_key"":""regular"",""options"":[{""key"":""small"",""label"":""Small"",""multiplier"":0.8},{""key"":""regular"",""label"":""Medium"",""multiplier"":1.0},{""key"":""large"",""label"":""Large"",""multiplier"":1.3}]}","{""piece"":{""multiplier"":1,""label"":""piece"",""step"":1,""min"":1,""max"":6},""gram"":{""multiplier"":0.01429,""label"":""g"",""step"":10,""min"":10,""max"":420}}",mfp_avg
